====================================================================================================
  RECOMENDACAO DE MONSTROS POR NIVEL (FAIXAS DE 50)
  Total: 528 monstros  |  Gerado: 04/06/2026 17:43
====================================================================================================

====================================================================================================
  TABELA COMPLETA POR NIVEL (ordenado por HP crescente)
====================================================================================================

----------------------------------------------------------------------------------------------------
  LEVEL 1 - 50  (387 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  Hydra                                      2,350          2,100      260        0
  Massive Water Elemental                    2,350          1,950      390        0
  Orc Marauder                               2,350          2,200      390        0
  Acid Blob                                  2,500          2,500      210        0
  Eternal Guardian                           2,500          1,800      420        0
  Beholder                                   2,600          1,700      150        0
  Nightmare                                  2,700          2,150      380        0
  Ice Overlord                               2,800          1,950      390        0
  Rift Worm                                  2,800          1,195      200        0
  Lizard Zaogun                              2,955          1,700      420        0
  Ancient Scarab                             3,000          7,200      330        0
  Dragon Baby                                3,000          1,000      170        0
  Draptor                                    3,000          2,400      340        0
  Grorlam                                    3,000          2,400      240        0
  Rift Brood                                 3,000          1,600      300        0
  Serpent Spawn                              3,000          2,350      240        0
  Thul                                       3,000          1,800      300        0
  Lizard Chosen                              3,050          2,200      240        0
  Sea Serpent                                3,200          2,300      658      390
  The Old Widow                              3,200          2,800      240        0
  Hellspawn                                  3,500          2,550      300        0
  Minishabaal                                3,500          4,000      700        0
  Raging mage                                3,500          3,250      100        0
  Warlock                                    3,500          4,000      220        0
  Rift Scythe                                3,600          2,000      370        0
  Defiler                                    3,650          3,700      260        0
  Infernalist                                3,650          4,000      260        0
  Destroyer                                  3,700          5,000      380        0
  Rahemos                                    3,700          3,100      320        0
  Terminator                                 3,700          5,000      380        0
  Mahrdis                                    3,900          3,050      340        0
  Phantasm                                   3,950          4,400      280        0
  Behemoth                                   4,000          2,500      280        0
  Earth Overlord                             4,000          2,800      330        0
  Energy Overlord                            4,000          2,800      290        0
  Vashresamun                                4,000          2,950      340        0
  Fury                                       4,100          4,500      460        0
  Thalas                                     4,100          2,950      320        0
  Undead Dragon Baby                         4,125          3,200      240        0
  Draken Warmaster                           4,150          2,400      220        0
  Betrayed Wraith                            4,200          3,500      310        0
  Dipthrah                                   4,200          2,900      320        0
  Omruc                                      4,300          2,950      370        0
  War Golem                                  4,300          2,550      280        0
  Demodras                                   4,500          4,000      230        0
  Fluffy                                     4,500          3,550      310        0
  Medusa                                     4,500          4,050      240        0
  Orc Leader                                 4,500          2,700      230      640
  The Count                                  4,600          1,750      370        0
  The Many                                   4,600          4,000      260        0
  Crystal Wolf                               4,800          5,900      260        0
  Demon Wolf                                 4,800          5,900      260        0
  Morguthis                                  4,800          3,000      320        0
  Aizen                                      5,000          3,000      300        0
  Ashmunrah                                  5,000          3,100      320        0
  Bardock                                    5,000          6,000      300        0
  Battlemaster Zunzu                         5,000          2,500      420        0
  Byakuya                                    5,000          3,000      300        0
  Draken Spellweaver                         5,000          2,600      240        0
  Goku                                       5,000          3,000      300        0
  Grimmjow                                   5,000          3,000      300        0
  Hitsugaya                                  5,000          3,000      300        0
  Ichigo                                     5,000          3,000      300        0
  Ichigo                                     5,000          3,000      300        0
  Kyouraku                                   5,000          3,000      300        0
  Neliel                                     5,000          3,000      300        0
  Renji                                      5,000          3,000      300        0
  Rukia                                      5,000          3,000      300        0
  Sado                                       5,000          3,000      300        0
  Tsuful Baby                                5,000          5,000      350        0
  Turles                                     5,000          3,000      300        0
  Vegeta                                     5,000          3,000      300        0
  Ghost Hollow                               5,800          2,500      350        0
  Lost Soul                                  5,800          4,000      250        0
  Stonecracker                               6,500          3,500      280        0
  Botamo                                     7,000          7,000      300        0
  Centipede                                  7,000          3,000      200      335
  Panda                                      8,000          2,300      240      300
  Robotron                                   8,000          1,500      325        0
  Pythius The Rotten                         8,350            100      300        0
  Blightwalker                               8,900          3,350      240        0
  flamethrower                               9,950          1,200        0        0
  magicthrower                               9,950          1,200        0        0
  plaguethrower                              9,950          1,300        0        0
  Poisonthrower                              9,950          1,200        0        0
  Banshee                                   10,000          2,000      220        0

----------------------------------------------------------------------------------------------------
  LEVEL 51 - 100  (86 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  deathslicer                                2,000            340      370        0
  Hellfire Fighter                           3,800          3,900      260        0
  Fire Overlord                              4,000          2,800      300        0
  Gilian                                     5,000          5,000      350        0
  King Vegeta                                6,000          3,000      400        0
  Leviathan                                  6,000          5,000      758        0
  Yakon                                      7,000          8,000      370        0
  Countess Sorrow                            7,200          5,150      250        0
  Dark Torturer                              7,350          4,650      280        0
  Fahim The Wise                             7,500         10,010      210        0
  Hand of Cursed Fate                        7,500          5,000      420        0
  Hellhound                                  7,500          6,800      310        0
  Merikh The Slaughterer                     7,500         10,010      270        0
  Ghastly Dragon                             7,800          4,600      410        0
  Hollow                                     8,000          6,000      260        0
  Zangetsu                                   8,000          4,500        0        0
  Demon                                      8,200          6,000      280        0
  Plaguesmith                                8,250          4,500      340        0
  Undead Dragon                              8,350          7,200      300        0
  Son of Verminor                            8,500          5,900      120        0
  Bones                                      9,500          3,750      300        0
  Orc Warlord                                9,500          6,700      290        0
  The Noxious Spawn                          9,500          6,000      360        0
  Lord of the Elements                      10,000          8,000      370        0
  Saibamen White                            10,000          5,000      400        0
  Saibamen                                  10,000          5,000      400        0
  Amazon                                    11,000          6,000      200      390
  Ancestral Guardian                        12,000          3,500      390        0
  Mr. Punish                                12,000          5,500      470        0
  Bandit Hollow                             12,500          8,000      380        0
  Orc Warrior                               12,500          7,000      190      360
  The Handmaiden                            14,500          3,850      450        0
  The Handmaiden                            14,500          3,850      450        0
  Bardock Oozaru                            15,000          8,000      300        0
  Saiyan Ghost                              15,000         10,000      400        0
  The Imperor                               15,000          8,000      330        0
  Dracola                                   15,850          7,750      410        0
  The Plasmother                            16,050          8,900      310        0
  Aqua Corrupted                            20,000         10,000      300        0
  Aqua                                      20,000         10,000      300        0
  Demonic Soldier                           20,000          8,000      400        0
  Juggernaut                                20,000          8,700      500        0
  Namekjin                                  20,000         15,000      400        0
  Tank                                      20,000          5,000      300        0
  Wind Elemental                            20,000          7,000      500        0
  Acidwire                                  30,000         30,000      210        0
  Aegzen                                    30,000         15,000      200        0
  Massacre                                  30,000          9,800      390        0
  Bardock Ssj                               35,000         10,000      350        0
  Ferumbras                                 35,000         12,000      320        0
  The Abomination                           38,050         25,000      340        0
  Aegzengiven                               40,000         35,000      200        0
  Aegzengun                                 40,000         35,000      200        0
  Fat Boo                                   40,000         40,000      200        0
  Fat Janemba                               40,000         40,000      200        0
  Golgordan                                 40,000         10,000      350        0
  Hellgorak                                 40,000         10,000      360        0
  Latrivan                                  40,000         10,000      340        0
  Purple Robocop                            40,000         35,000      400        0
  Worker ice                                40,000         45,000      300        0
  Worker                                    40,000         45,000      300        0
  Grim Reaper                               41,000          5,500      400        0
  Bardock Ssj3                              45,000         20,000      350        0
  Kid Janemba                               45,000         20,000      200        0
  Acid Hollow                               50,000        100,000      470        0
  Dodoria                                   50,000          3,500      280        0
  Goku Ginyu                                50,000         30,000      400        0
  Tsuful                                    50,000         50,000      350        0
  Ushuriel                                  50,000         10,000      350        0
  Bardock Ssj4                              55,000         40,000      350        0
  Madareth                                  55,000        100,000      380        0
  Morgaroth                                 55,000         15,000      400        0
  Ghazbaran                                 60,000         15,000      400        0
  Lizzard King                              60,000          9,800      280        0
  Raditz                                    60,000         50,000      300        0
  Red Red Robocop                           60,000         35,000      400        0
  Spopovitch                                60,000        100,000      500        0
  Zarbon                                    60,000         40,000      300        0
  Bawabawa                                  70,000         70,000      630      255
  Spider Hollow                             70,000         80,000      470        0
  Janemba                                   75,000         85,000      400        0
  C19 And C20                               80,000         25,000      300        0
  Furios Scorpion                           90,000         12,000      320        0
  Bojack                                    93,000         40,000      500        0
  Zugurosh                                  95,000         10,000      340        0
  Oozaru                                   100,000         15,000      300        0

----------------------------------------------------------------------------------------------------
  LEVEL 101 - 150  (28 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Bardock Ssj5                              65,000         50,000      350        0
  Leader of the guardian of the forest of menos       70,000         70,000      470        0
  Dabura                                    90,000         80,000      350        0
  Bardock Ssj Supreme                       95,000         60,000      500        0
  Freeza                                   100,000         70,000      350        0
  Goku SSJ                                 100,000         75,000      400        0
  Worker Chef                              100,000         85,000      300        0
  C19                                      110,000         65,000      400        0
  Lobisomen                                110,000         60,000      800        0
  Ancient Dinosaur Hollow                  120,000         61,820      180        0
  Dr. Gero                                 130,000         70,000      400        0
  Cell Jr                                  150,000         25,000      500        0
  Kuririn                                  150,000         45,000      400        0
  Paikuhan                                 150,000         65,000      350        0
  Apocalypse                               160,000         80,000      400        0
  C17                                      175,000         25,000      550        0
  C18                                      185,000         30,000      500        0
  Cell Perfect                             200,000        100,000      650        0
  Cell                                     200,000         35,000      500        0
  Goku SSJ2                                200,000        100,000      450        0
  Orshabaal                                225,000         99,990      380        0
  Gohan SSJ2                               250,000        100,000      400        0
  Tsuful Oozaru                            250,000        150,000      200        0
  Monako                                   350,000        180,000      600        0
  Trunks SSJ4                              350,000        250,000      600        0
  C20                                      370,000         75,000      700        0
  Annihilon                                400,000         10,000      310        0
  Space Soldier                            400,000         75,000      450        0

----------------------------------------------------------------------------------------------------
  LEVEL 151 - 200  (16 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Goku SSJ4                                250,000      2,000,000      500        0
  Goku SSJ3                                300,000        150,000      450        0
  Gohan SSJ4                               400,000        200,000      475        0
  Gogeta                                   500,000        120,000      600        0
  Majin Buu                                500,000        150,000      500        0
  Super C17                                500,000        450,000      350        0
  Vegetto                                  500,000        240,000      300        0
  Super C18                                600,000        500,000      400        0
  Gohan SSJ5                               750,000        450,000      600        0
  Golden Oozaru                            750,000        450,000      350        0
  Trunks SSJ4                              750,000        550,000      600        0
  Turles SSJ5                              750,000        500,000      400        0
  Vegeta SSJ4                              750,000        550,000      600        0
  Fishbone D                             1,000,000        900,000      470        0
  Grand Fisher                           1,000,000        900,000      470        0
  Vegeta Ssj Blue                        1,000,000        750,000      600        0

----------------------------------------------------------------------------------------------------
  LEVEL 201 - 250  (6 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Goku SSJ5                                500,000      5,000,000      600        0
  Raditz SSJ5                            1,500,000        750,000      600        0
  Trunks SSJ5                            1,500,000        950,000      600        0
  Tsuful SSJ5                            1,500,000        750,000      650        0
  Turles SSJ5                            1,500,000      1,000,000      600        0
  Raditz SSJ4                            2,200,000        280,000      650        0

----------------------------------------------------------------------------------------------------
  LEVEL 251 - 300  (1 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Saiyan                                 5,000,000        800,000      800        0

----------------------------------------------------------------------------------------------------
  LEVEL 301 - 350  (3 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Ikomikidomoe                          10,000,000      9,000,000      470        0
  Fire Elemental Supremo                12,000,000    350,000,000      400        0
  Mama Bird                             12,000,000    350,000,000      400        0

----------------------------------------------------------------------------------------------------
  LEVEL 451 - 500  (1 monstros)
----------------------------------------------------------------------------------------------------
  MONSTRO                                       HP            EXP    SPEED     MANA
  ----------------------------------- ------------ -------------- -------- --------
  Hawk                                 100,000,000      7,500,000      300        0

====================================================================================================
  ESTATISTICAS
====================================================================================================

  Monstros por faixa:

  LV 1 - 50  : ████████████████████████████████████████████████████████████ 387
  LV 51 - 100: ████████████████████████████████████████████████████████████ 86
  LV 101 - 150: ████████████████████████████ 28
  LV 151 - 200: ████████████████ 16
  LV 201 - 250: ██████ 6
  LV 251 - 300: █ 1
  LV 301 - 350: ███ 3
  LV 451 - 500: █ 1

  Top 10 Mais Fortes:

   1. Hawk                           | Score:  3011093 | EXP:  7,500,000 | HP: 100,000,000 | LV: 451 - 500
   2. Mama Bird                      | Score:   440506 | EXP: 350,000,000 | HP: 12,000,000 | LV: 301 - 350
   3. Fire Elemental Supremo         | Score:   437506 | EXP: 350,000,000 | HP: 12,000,000 | LV: 301 - 350
   4. Ikomikidomoe                   | Score:   310873 | EXP:  9,000,000 | HP: 10,000,000 | LV: 301 - 350
   5. Saiyan                         | Score:   153896 | EXP:    800,000 | HP:  5,000,000 | LV: 251 - 300
   6. Raditz SSJ4                    | Score:    68944 | EXP:    280,000 | HP:  2,200,000 | LV: 201 - 250
   7. Turles SSJ5                    | Score:    50012 | EXP:  1,000,000 | HP:  1,500,000 | LV: 201 - 250
   8. Raditz SSJ5                    | Score:    49424 | EXP:    750,000 | HP:  1,500,000 | LV: 201 - 250
   9. Trunks SSJ5                    | Score:    49324 | EXP:    950,000 | HP:  1,500,000 | LV: 201 - 250
  10. Tsuful SSJ5                    | Score:    48523 | EXP:    750,000 | HP:  1,500,000 | LV: 201 - 250

  Top 10 Mais Fracos:

   1. Cockroach                      | Score:        3 | EXP:          0 | HP:          1 | LV: 1 - 50
   2. Sheep                          | Score:        3 | EXP:          0 | HP:         20 | LV: 1 - 50
   3. Rabbit                         | Score:        4 | EXP:          0 | HP:         15 | LV: 1 - 50
   4. Chicken                        | Score:        4 | EXP:          0 | HP:         15 | LV: 1 - 50
   5. Black Sheep                    | Score:        4 | EXP:          0 | HP:         20 | LV: 1 - 50
   6. Deer                           | Score:        4 | EXP:          0 | HP:         25 | LV: 1 - 50
   7. Dog                            | Score:        4 | EXP:          0 | HP:         20 | LV: 1 - 50
   8. Mimic                          | Score:        5 | EXP:          0 | HP:         30 | LV: 1 - 50
   9. Flamingo                       | Score:        5 | EXP:          0 | HP:         25 | LV: 1 - 50
  10. Butterfly                      | Score:        5 | EXP:          0 | HP:          2 | LV: 1 - 50

  Monstros Summonable/Convinceable:

  Badger                         | Mana:   200 | LV: 1 - 50   | EXP:        5
  Rat                            | Mana:   200 | LV: 1 - 50   | EXP:        5
  Skunk                          | Mana:   200 | LV: 1 - 50   | EXP:        3
  Snake                          | Mana:   205 | LV: 1 - 50   | EXP:       10
  Spider                         | Mana:   210 | LV: 1 - 50   | EXP:       12
  Cat                            | Mana:   220 | LV: 1 - 50   | EXP:       10
  Chicken                        | Mana:   220 | LV: 1 - 50   | EXP:        0
  Dog                            | Mana:   220 | LV: 1 - 50   | EXP:        0
  Rabbit                         | Mana:   220 | LV: 1 - 50   | EXP:        0
  Silver Rabbit                  | Mana:   220 | LV: 1 - 50   | EXP:        0
  Squirrel                       | Mana:   220 | LV: 1 - 50   | EXP:        0
  Bat                            | Mana:   250 | LV: 1 - 50   | EXP:       10
  Black Sheep                    | Mana:   250 | LV: 1 - 50   | EXP:        0
  Bug                            | Mana:   250 | LV: 1 - 50   | EXP:       18
  Cave Rat                       | Mana:   250 | LV: 1 - 50   | EXP:    1,000
  Flamingo                       | Mana:   250 | LV: 1 - 50   | EXP:        0
  Munster                        | Mana:   250 | LV: 1 - 50   | EXP:       23
  Parrot                         | Mana:   250 | LV: 1 - 50   | EXP:      250
  Seagull                        | Mana:   250 | LV: 1 - 50   | EXP:        0
  Sheep                          | Mana:   250 | LV: 1 - 50   | EXP:        0
  Tibia Bug                      | Mana:   250 | LV: 1 - 50   | EXP:       50
  Bawabawa                       | Mana:   255 | LV: 51 - 100 | EXP:   70,000
  Pig                            | Mana:   255 | LV: 1 - 50   | EXP:       75
  Wolf hollow                    | Mana:   255 | LV: 1 - 50   | EXP:       40
  Wolf                           | Mana:   255 | LV: 1 - 50   | EXP:       18
  Deer                           | Mana:   260 | LV: 1 - 50   | EXP:        0
  Winter Wolf                    | Mana:   260 | LV: 1 - 50   | EXP:       20
  Poison Spider                  | Mana:   270 | LV: 1 - 50   | EXP:       22
  Cobra                          | Mana:   275 | LV: 1 - 50   | EXP:       30
